 	EN	CN	DE	FR	ES	JP	KO	TC
^email0307_03	In the past few months I've been here at this school, I found that our Student Council President, Austin Hill, is not the well-mannered student everyone thinks he is.	        来这所学校几个月的时间里，我发现我们的学生会长Austin Hill并不是大家想象中的那种好学生。						        來這所學校幾個月的時間裏，我發現我們的學生會長Austin Hill並不是大家想像中的那種好學生。
^email0307_04	As Student Council President, he bullies classmates and uses his power to dominate those he doesn't like. I don't think he should be allowed to continue to run for the student council next year!	        他依仗着学生会长的身份欺负、霸凌同学，利用自己的权利打压他看不顺眼的人。我认为他不应该继续参与下一年的学生会竞选！						        他依仗著學生會長的身份欺負、霸淩同學，利用自己的權利打壓他看不順眼的人。我認為他不應該繼續參與下一年的學生會競選！
^email0307_05	Here's a picture that's been circulating around the school lately, and I hope you can believe me!	        这是最近同学间流传的一张照片，我希望您能相信我说的话！						        這是最近同學間流傳的一張照片，我希望您能相信我說的話！
^email0307_06	His father, the chief of the SEC, makes it really easy for him to get student support.	        他的父亲是证监会长，他很轻易地就能拉拢人心。						        他的父親是證監會長，他很輕易地就能拉攏人心。
^email0307_07	If he gets re-elected, all those who have been bullied by him will be doomed!	        如果这届学生会长由他连任，那么一直被他欺负的同学会感到绝望！						        如果這屆學生會長由他連任，那麼一直被他欺負的同學會感到絕望！
^email0307_08	So, finally, I'd like to make a request. I hope you can disqualify him from running for Student Council President!	        最后，我希望您能取消他竞选学生会长的资格！\n						        最後，我希望您能取消他競選學生會長的資格！\n
^email0307_09	Isabelle Auteuil	        Isabelle Auteuil						        Isabelle Auteuil
^email0307_10	Dear Isabelle,	        亲爱的Isabelle\n						        親愛的Isabelle\n
^email0307_11	I was quite concerned after reading your letter, so I asked some students’ impressions about Austin, but the result doesn't seem to support what you found. Most students seem to like Austin. As for the picture you saw, that was nothing more than a misunderstanding. It was just a friendly joke among the students.	        收到你的来信后我非常担忧，于是我向同学们询问了关于Austin的一些情况，但结果并不是你所说的那样。大家都很喜欢Austin，你看到的图片不过是个误会，那只是同学之间友好的玩笑。						        收到你的來信後我非常擔憂，於是我向同學們詢問了關於Austin的一些情況，但結果並不是你所說的那樣。大家都很喜歡Austin，你看到的圖片不過是個誤會，那只是同學之間友好的玩笑。
^email0307_12	The school policy is that student council election should respect the votes from students, and the principal shouldn’t interfere. I believe he wouldn't have the support of so many students if they didn't like him. From what I can see, he's a nice young man, and I hope you don't discredit your classmates just because of your personal likes and dislikes.	        学生会竞选都是同学们票选出来的，校方不参与不干涉这是惯例，我想如果不是他受到同学们的喜欢，也不会被这么多人支持。我认为他是个不错的小伙子，希望你不要因为个人喜恶而去诋毁你的同学。\n						        學生會競選都是同學們票選出來的，校方不參與不幹涉這是慣例，我想如果不是他受到同學們的喜歡，也不會被這麼多人支持。我認為他是個不錯的小夥子，希望你不要因為個人喜惡而去詆毀你的同學。\n
^email0307_13	Mackie Cousy	        Mackie Cousy						        Mackie Cousy
^email0307_14	\n\n----------Original ----------\nFrom: Isabelle Auteuil\nSend time: 10.27.2021\nSubject: Against Austin running for Student Council President!\n\n	\n\n----------原邮件----------\n发件人：Isabelle Auteuil\n发送时间：2021.10.27\n主题：Mackie校长，我反对Austin再次竞选学生会长！\n\n						\n\n----------原郵件----------\n發件人：Isabelle Auteuil\n發送時間：2021.10.27\n主題：Mackie校長，我反對Austin再次競選學生會長！\n\n
^emailtitle_event0305	Re: About the final exam	回复：关于期末考试的事情						回複：關於期末考試的事情
^emailtitle_event0306	Okay, this is my phone number	好的，这是我的电话						好的，這是我的電話
^emailtitle_event0307	About the final exam	关于期末考试的事情						關於期末考試的事情
^emailtitle_event0308	My dad agreed to donate	我父亲已经同意了捐款						我父親已經同意了捐款
^email0308_01	Yes, you may come to my office this afternoon to check it.	是的，下午来我办公室拿题目好好看一下吧。						是的，下午來我辦公室拿題目好好看一下吧。
^email0308_02	\n\n----------Original ----------\nFrom: Austin Hill\n Send time: 07.11.2021\nSubject: About the final exam\n\n	\n\n----------原邮件----------\n发件人：Austin Hill\n发送时间：2021.07.11\n主题：关于期末考试的事情\n\n						\n\n----------原郵件----------\n發件人：Austin Hill\n發送時間：2021.07.11\n主題：關於期末考試的事情\n\n
^email0308_03	So… can I have this final exam’s questionnaire in advance as well?	所以……这次期末的试题也可以提前给我是吧？						所以……這次期末的試題也可以提前給我是吧？
^email0309_01	Well, I feel so honored to have Mr. Hill's sponsorship. My phone number is 221-3282-4301.	好的，我很高兴，能得到Hill先生的资助。我的电话是：221-3282-4301						好的，我很高興，能得到Hill先生的資助。我的電話是：221-3282-4301
^email0309_02	\n\n----------Original ----------\nFrom: Austin Hill\nSend time: 07.11.2021\nSubject: My dad has agreed to donate\n\n	\n\n----------原邮件----------\n发件人：Austin Hill\n发送时间：2021.07.11\n主题：我父亲已经同意了捐款\n\n						\n\n----------原郵件----------\n發件人：Austin Hill\n發送時間：2021.07.11\n主題：我父親已經同意了捐款\n\n
^email0309_03	Ms. Cousy, I have talked to my father about the school labs’ renovation and equipment purchase, and he agreed to donate some money. His assistant, Harry Swift, will be in contact with you about the details. Please send me your phone number.	Mackie女士，我已经告诉了父亲，关于学校实验室需要修缮和购买最新设备的事，他同意向学校捐助一笔资金，到时他的助理Harry Swift会和您详谈，请您留下电话。						Mackie女士，我已經告訴了父親，關於學校實驗室需要修繕和購買最新設備的事，他同意向學校捐助一筆資金，到時他的助理Harry Swift會和您詳談，請您留下電話。
^email0309_04	\n----------Original ----------\nFrom: Mackie Cousy \nSend time: 07.11.2021\nSubject: My phone number.\n\n	\n\n----------原邮件----------\n发件人：Mackie Cousy\n发送时间：2021.07.11\n主题：好的，这是我的电话\n\n						\n\n----------原郵件----------\n發件人：Mackie Cousy\n發送時間：2021.07.11\n主題：好的，這是我的電話\n\n
^title_event0309	School Girl Accidentally Set Fire to Bolton High Celebration	博尔顿校庆日，女孩因意外引发火灾						博爾頓校慶日，女孩因意外引發火災
^title_event0310	The Concealment - Read all	《瞒天过海》——全文阅读						《瞞天過海》——全文閱讀
^URL_event0309	www.breakingnews.com/675Jkw2	www.breakingnews.com/675Jkw2						www.breakingnews.com/675Jkw2
^URL_event0310	www.novelonline.com/159956	www.novelonline.com/159956						www.novelonline.com/159956
^searchworld_event0309	Accident at Bolton High Celebration. A girl named Julia Ann was burned, she is currently receiving urgent care in a nearby hospital. The cause of the fire is still under investigation...	博尔顿校庆日出现意外，一名叫Julia Ann的女孩不慎引火烧身，目前已经送往医院治疗，具体原因正在调查……						博爾頓校慶日出現意外，一名叫Julia Ann的女孩不慎引火燒身，目前已經送往醫院治療，具體原因正在調查……
^searchworld_event0310	 "The Concealment"                                                                                                                 Introduction, reviews, forums, and recommendations...                                                             Score 9.6 292 reviews5 stars, 85%, 4 stars, 11.9%, 3 stars, ...                                                                                                                                                Detective Novel                                                                                                                                   Read full article of "The Concealment"                                                                                           Read online...	图书瞒天过海 介绍、书评、论坛及推荐... 评分 9.6 292人评价 5星 85% 4星 11.9% 3星 …推理小说 全文阅读瞒天过海 在线阅读...						圖書瞞天過海 介紹、書評、論壇及推薦... 評分 9.6 292人評價 5星 85% 4星 11.9% 3星 …推理小說 全文閱讀瞞天過海 在線閱讀...
